"…Ë±∏±‡¬Î","≤ ¡Â∑—","∂Ã–≈∑—","±æµÿ”Ô“ÙÕ®ª∞∑—","≥§Õæ”Ô“ÙÕ®ª∞∑—"," °ƒ⁄”Ô“Ù¬˛”Œ∑—"," °º ”Ô“Ù¬˛”Œ∑—","π˙º ”Ô“Ù≥§Õæ∑—","…œÕ¯º∞ ˝æ›Õ®–≈∑—","◊€∫œ‘ˆ÷µ∑˛ŒÒ∑—","¿¥µÁœ‘ æ∑—","◊‹∑—”√","…œÕ¯¥Œ ˝","…œÕ¯ ±≥§"," «∑Ò—”≥ŸΩ…∑—","÷˜Ω–¥Œ ˝","±ªΩ–¥Œ ˝","±æµÿÕ®ª∞¥Œ ˝"," °ƒ⁄¬˛”ŒÕ®ª∞¥Œ ˝"," °º ¬˛”ŒÕ®ª∞¥Œ ˝","π˙º ¬˛”ŒÕ®ª∞¥Œ ˝","÷˜Ω–Õ®ª∞∑÷÷” ˝","±ªΩ–Õ®ª∞∑÷÷” ˝","±æµÿÕ®ª∞∑÷÷” ˝","≥§Õæ”Ô“ÙÕ®ª∞∑÷÷” ˝"," °ƒ⁄¬˛”ŒÕ®ª∞∑÷÷” ˝"," °º ¬˛”ŒÕ®ª∞∑÷÷” ˝","π˙º ¬˛”ŒÕ®ª∞∑÷÷” ˝","»∫ƒ⁄Õ®ª∞¥Œ ˝","»∫ƒ⁄Õ®ª∞∑÷÷” ˝","»∫Õ‚Õ®ª∞¥Œ ˝","»∫Õ‚Õ®ª∞∑÷÷” ˝","√¶ ±Õ®ª∞¥Œ ˝","√¶ ±Õ®ª∞∑÷÷” ˝","œ– ±Õ®ª∞¥Œ ˝","œ– ±Õ®ª∞∑÷÷” ˝","∫Ù◊™¥Œ ˝","≤¶¥ÚÀ˚Õ¯øÕ∑˛¥Œ ˝","≤¶¥Ú÷–µÁ–≈Õ®ª∞¥Œ ˝","≤¶¥Ú÷–µÁ–≈Õ®ª∞∑÷÷” ˝","≤¶¥Ú÷–¡™Õ®Õ®ª∞¥Œ ˝","≤¶¥Ú÷–¡™Õ®Õ®ª∞∑÷÷” ˝","≤¶¥Ú÷–“∆∂ØÕ®ª∞¥Œ ˝","≤¶¥Ú÷–“∆∂ØÕ®ª∞∑÷÷” ˝","≤¶¥ÚπÃª∞Õ®ª∞¥Œ ˝","≤¶¥ÚπÃª∞Õ®ª∞∑÷÷” ˝","÷˜Ω–Õ®ª∞¡™œµ»À ˝¡ø","±ªΩ–Õ®ª∞¡™œµ»À ˝¡ø"
"521",5,1.1,3.4,15.57,0,64.78,0,32.6,5.21,3.13,147.66,268,10814.2," «",129,79,20,0,188,0,252,170,0,34,0,388,0,0,0,208,315.6,169,246.8,39,68.8,20,0,57,88.9,29,45.7,17,19.5,109,161.4,6,29
"522",0,12.5,0.75,4.69,1.92,1.28,0,35.87,7.78,4.67,103.08,17,16.65,"∑Ò",155,169,316,8,0,0,286,275,503,39,19,0,0,95,121.1,229,267.1,234,303.8,90,84.4,0,0,41,65.3,6,5.1,102,122.5,155,201.9,15,49
"523",3.84,0.1,4.35,0,0,7.69,0,10.64,5.41,6.76,113.45,295,3032.816667,"∑Ò",43,59,24,33,45,0,259,248,56,9,189,253,0,0,0,102,450.7,70,307.7,32,143,0,0,5,21.3,12,68.2,22,133.3,43,236.2,4,29
"524",2.09,0,0,0,0,9.79,0,4,4.69,3.69,93.85,83,966.0833333,"∑Ò",120,193,303,10,0,0,193,300,441,29,23,0,0,77,66.3,236,251.8,187,185.5,126,132.6,0,0,58,55.9,0,0,57,58.1,120,124.5,11,64
"525",1.64,2.3,0,6.66,2.72,1.83,0.49,13.31,2.27,9.56,78.44,428,0," «",203,466,668,0,0,1,327,747,1067,6,0,0,1,351,385.6,318,332,461,523.7,208,193.9,9,0,82,89.9,9,5,78,92,194,207.8,20,59
"526",1.92,0.6,0,7.84,3.2,2.16,0,15.66,2.67,11.24,89.6,0,0,"∑Ò",187,121,302,6,0,0,235,193,354,68,6,0,0,0,0,308,272.2,178,146.9,130,125.3,0,0,45,35.3,22,9.6,67,53.6,187,138.9,23,40
"527",4.25,5.1,0,0,0,14.21,4.9,11.26,6,7.49,154,0,0,"∑Ò",174,211,368,14,0,3,305,576,756,90,25,0,10,0,0,385,672.5,243,477.9,142,194.6,0,0,31,22.6,12,10.8,128,176.8,174,212.8,15,35
"528",-1.09,2.75,0,5.69,-5.67,1.56,0,34.67,1.46,6.11,120,698,18091.58333,"∑Ò",110,82,74,118,0,0,370,272,193,93,356,0,0,7,45.2,185,493.9,130,353.9,62,185.3,0,0,47,144.5,10,7.8,27,96.8,110,312.8,10,33
"529",7.6,5.51,0,7.88,3.2,2.14,0,42.89,3.6,12.26,134,102,3374.95,"∑Ò",23,2,7,18,0,0,83,3,10,0,76,0,0,0,0,25,73.9,23,65.5,2,8.3,0,0,6,13.5,1,0.8,5,22.4,23,71.9,3,0
"530",2.16,9.6,5.8,4.72,22.2,1.07,0,96.77,13,12.68,192.31,240,13344.18333,"∑Ò",107,106,47,166,0,0,296,317,94,10,509,0,0,0,0,213,501.4,159,352.5,54,149,0,0,2,7,5,14.9,72,87.5,107,240.4,3,41
