"…Ë±∏±‡¬Î","≤ ¡Â∑—","∂Ã–≈∑—","±æµÿ”Ô“ÙÕ®ª∞∑—","≥§Õæ”Ô“ÙÕ®ª∞∑—"," °ƒ⁄”Ô“Ù¬˛”Œ∑—"," °º ”Ô“Ù¬˛”Œ∑—","π˙º ”Ô“Ù≥§Õæ∑—","…œÕ¯º∞ ˝æ›Õ®–≈∑—","◊€∫œ‘ˆ÷µ∑˛ŒÒ∑—","¿¥µÁœ‘ æ∑—","◊‹∑—”√","…œÕ¯¥Œ ˝","…œÕ¯ ±≥§"," «∑Ò—”≥ŸΩ…∑—","÷˜Ω–¥Œ ˝","±ªΩ–¥Œ ˝","±æµÿÕ®ª∞¥Œ ˝"," °ƒ⁄¬˛”ŒÕ®ª∞¥Œ ˝"," °º ¬˛”ŒÕ®ª∞¥Œ ˝","π˙º ¬˛”ŒÕ®ª∞¥Œ ˝","÷˜Ω–Õ®ª∞∑÷÷” ˝","±ªΩ–Õ®ª∞∑÷÷” ˝","±æµÿÕ®ª∞∑÷÷” ˝","≥§Õæ”Ô“ÙÕ®ª∞∑÷÷” ˝"," °ƒ⁄¬˛”ŒÕ®ª∞∑÷÷” ˝"," °º ¬˛”ŒÕ®ª∞∑÷÷” ˝","π˙º ¬˛”ŒÕ®ª∞∑÷÷” ˝","»∫ƒ⁄Õ®ª∞¥Œ ˝","»∫ƒ⁄Õ®ª∞∑÷÷” ˝","»∫Õ‚Õ®ª∞¥Œ ˝","»∫Õ‚Õ®ª∞∑÷÷” ˝","√¶ ±Õ®ª∞¥Œ ˝","√¶ ±Õ®ª∞∑÷÷” ˝","œ– ±Õ®ª∞¥Œ ˝","œ– ±Õ®ª∞∑÷÷” ˝","∫Ù◊™¥Œ ˝","≤¶¥ÚÀ˚Õ¯øÕ∑˛¥Œ ˝","≤¶¥Ú÷–µÁ–≈Õ®ª∞¥Œ ˝","≤¶¥Ú÷–µÁ–≈Õ®ª∞∑÷÷” ˝","≤¶¥Ú÷–¡™Õ®Õ®ª∞¥Œ ˝","≤¶¥Ú÷–¡™Õ®Õ®ª∞∑÷÷” ˝","≤¶¥Ú÷–“∆∂ØÕ®ª∞¥Œ ˝","≤¶¥Ú÷–“∆∂ØÕ®ª∞∑÷÷” ˝","≤¶¥ÚπÃª∞Õ®ª∞¥Œ ˝","≤¶¥ÚπÃª∞Õ®ª∞∑÷÷” ˝","÷˜Ω–Õ®ª∞¡™œµ»À ˝¡ø","±ªΩ–Õ®ª∞¡™œµ»À ˝¡ø"
"521",5,0,9.6,47.49,0,1.55,0,32.6,5.21,3.13,121.46,0,0,"∑Ò",39,0,39,0,0,0,96,0,0,96,0,0,0,0,0,39,76.4,29,67.5,10,8.9,39,0,0,0,0,0,0,0,0,0,0,0
"522",0,0,0,5.43,2.22,1.49,0,38.51,9,5.4,100.15,9,16.65," «",56,99,153,2,0,0,92,162,240,11,3,0,0,56,80.2,99,87.6,119,126.5,36,41.3,0,0,17,27.5,3,5.3,34,28.5,56,62.2,4,28
"523",3.84,0.1,0,0,0,7.69,0,10.64,5.41,6.76,109.1,95,997.25,"∑Ò",32,27,0,0,59,0,146,122,0,0,0,268,0,0,0,59,236.3,41,161.2,18,75.1,0,0,0,0,3,1.2,29,128.6,32,129.8,2,12
"524",2.12,0,0,0,0,9.91,0,6.05,4.73,3.74,97.02,645,9247.1," «",106,176,277,5,0,0,194,273,411,46,10,0,0,74,53.4,208,264.5,179,215.8,103,102.1,0,0,48,40.9,4,3.9,44,49.8,106,138.4,9,64
"525",1.58,1.5,0,6.44,2.63,1.77,0,29.3,2.18,9.24,90.99,454,0,"∑Ò",135,195,310,20,0,0,186,276,424,6,32,0,0,114,97.5,216,183.2,219,180.3,111,100.3,6,0,36,32.7,5,5.6,69,54.3,129,109.8,17,43
"526",1.92,0.1,0,7.84,3.2,2.16,0,15.66,2.66,11.24,89.1,0,0,"∑Ò",94,48,140,2,0,0,142,81,200,21,2,0,0,0,0,142,149.1,87,93.4,55,55.8,0,0,8,5,5,1.7,48,55.2,94,95.2,15,28
"527",4.25,0.5,0,0,0,14.21,0.49,11.26,6,7.49,144.99,2,46.33333333,"∑Ò",109,114,217,5,0,1,202,323,437,82,5,0,1,0,0,223,405.1,149,316.3,74,88.8,0,0,12,7.5,9,14.8,87,118.3,109,141.7,12,25
"528",-10.72,2.66,0,0.22,2.24,1.51,0,33.5,1.4,5.91,117,334,9785.166667," «",88,85,56,117,0,0,257,289,157,44,345,0,0,3,0.9,170,460.7,117,311,56,150.6,0,0,37,139.2,2,1.4,37,44.4,88,213.4,7,24
"529",7.6,5.51,0,7.83,3.25,2.14,0,42.89,3.6,12.26,134,423,15105.43333,"∑Ò",61,37,30,36,32,0,177,89,73,0,126,67,0,0,0,98,221.7,85,209.9,13,11.7,0,0,15,32.4,0,0,19,32.6,61,152.3,9,18
"530",2.16,7,0,3.92,1.6,10.27,0,124.61,5,12.68,191.35,208,30609.6," «",78,93,49,17,105,0,207,219,99,18,41,268,0,0,0,171,341.5,120,238.4,51,103.1,0,0,13,18.9,6,7.1,51,122,78,166.3,4,33
